id;nazwa_wojewodztwa;kod_rynku;kod_branzy;liczba_pracownikow;zrodlo_rejestr;data_rejestracji;data_ostatnie_zamowienie;obecnosc_w_internecie;target_wartosc_sprzedazy
7258;œwiêtokrzyskie;KIW;10001;21-50 osób;CEIDG;01.09.1990;15.05.2019;nie ma strony www;1600
7259;œwiêtokrzyskie;KIW;526;;CEIDG;09.06.1992;29.09.2020;ma stronê www;320
7267;ma³opolskie;KRW;652;;CEIDG;05.08.2002;19.10.2020;ma stronê www;2050
7278;³ódzkie;SKW;526;6-10 osób;CEIDG;05.07.2000;01.10.2019;nie ma strony www;1200
7281;³ódzkie;SKW;411;1 osoba;CEIDG;28.07.2003;21.03.2019;ma stronê www;1920
7284;³ódzkie;SKW;10001;6-10 osób;CEIDG;01.12.1995;08.01.2018;ma stronê www;1430
7285;³ódzkie;SKW;755;6-10 osób;CEIDG;11.12.1996;01.02.2018;nie ma strony www;400
7288;³ódzkie;SKW;5;2-5 osób;CEIDG;01.12.1992;11.09.2019;ma stronê www;600
7297;œl¹skie;BBW;1574;2-5 osób;CEIDG;01.07.1997;17.06.2020;ma stronê www;1900
7301;œl¹skie;BBW;10001;2-5 osób;CEIDG;20.11.1998;15.04.2020;ma stronê www;1250
7302;wielkopolskie;PIW;526;1 osoba;CEIDG;09.09.1986;20.06.2018;nie ma strony www;300
7343;lubuskie;GWW;755;101-250 osób;KRS;01.12.1994;20.11.2019;ma stronê www;450
7377;pomorskie;SLW;98;101-250 osób;KRS;01.01.1982;27.01.2020;ma stronê www;2000
7378;pomorskie;SLW;411;6-10 osób;CEIDG;07.10.2003;22.02.2018;ma stronê www;2880
7382;pomorskie;SLW;755;2-5 osób;CEIDG;01.10.1994;26.08.2019;ma stronê www;7140
7384;pomorskie;SLW;411;2-5 osób;CEIDG;11.12.1990;31.10.2018;ma stronê www;560
7389;pomorskie;SLW;755;6-10 osób;CEIDG;13.03.2003;05.09.2018;ma stronê www;2270
7397;pomorskie;SLW;526;21-50 osób;KRS;01.03.1991;15.05.2019;nie ma strony www;500
7398;pomorskie;SLW;522;11-20 osób;CEIDG;05.08.1988;06.02.2020;nie ma strony www;500
7403;pomorskie;SLW;907;1 osoba;CEIDG;26.01.1999;25.11.2019;ma stronê www;840
7407;pomorskie;SLW;755;2-5 osób;CEIDG;24.01.2001;04.02.2020;nie ma strony www;400
7408;pomorskie;SLW;522;51-100 osób;KRS;01.01.1991;08.07.2020;ma stronê www;1900
7411;pomorskie;SLW;5;6-10 osób;CEIDG;08.05.1993;02.03.2020;ma stronê www;500
7413;pomorskie;SLW;1433;101-250 osób;KRS;01.01.1951;04.06.2020;e-commerce;1728
7419;pomorskie;SLW;755;6-10 osób;CEIDG;01.12.2000;08.05.2020;ma stronê www;1400
7422;pomorskie;SLW;1171;1 osoba;CEIDG;01.12.1990;18.09.2020;nie ma strony www;500
7423;pomorskie;SLW;1402;2-5 osób;CEIDG;01.01.1976;12.07.2018;ma stronê www;550
7441;mazowieckie;GRW;10001;21-50 osób;KRS;01.01.1993;16.01.2019;ma stronê www;1100
7446;podlaskie;BIW;98;6-10 osób;CEIDG;19.06.1992;11.09.2020;nie ma strony www;500
7466;pomorskie;GDW;411;2-5 osób;CEIDG;02.07.2015;23.01.2018;nie ma strony www;450
7471;pomorskie;GDW;755;1 osoba;CEIDG;01.12.1996;25.09.2018;ma stronê www;1190
7473;pomorskie;GDW;755;6-10 osób;CEIDG;01.12.1991;28.06.2019;ma stronê www;11440
7479;pomorskie;GDW;848;1 osoba;CEIDG;27.06.1989;22.04.2020;ma stronê www;4050
7483;pomorskie;GDW;907;2-5 osób;CEIDG;02.11.1998;12.03.2020;ma stronê www;1500
7484;pomorskie;GDW;98;101-250 osób;KRS;01.02.1988;22.11.2019;ma stronê www;1000
7495;œl¹skie;DGW;755;6-10 osób;CEIDG;01.12.1992;31.08.2020;ma stronê www;840
7506;œl¹skie;DGW;755;2-5 osób;CEIDG;01.03.1993;31.08.2018;ma stronê www;672
7524;œl¹skie;DGW;437;2-5 osób;CEIDG;02.05.1991;11.04.2019;nie ma strony www;500
7529;œl¹skie;DGW;98;2-5 osób;KRS;03.08.1989;24.08.2020;ma stronê www;18800
7557;podkarpackie;TBW;5;;CEIDG;06.07.1992;27.01.2020;nie ma strony www;400
7564;pomorskie;GDW;968;;CEIDG;01.07.1994;03.03.2020;nie ma strony www;670
7570;mazowieckie;PAW;968;2-5 osób;CEIDG;01.01.1995;02.10.2018;ma stronê www;610
7582;œwiêtokrzyskie;KIW;437;2-5 osób;CEIDG;02.11.2011;05.03.2020;ma stronê www;2000
7585;œwiêtokrzyskie;KIW;1386;;CEIDG;01.12.1995;26.10.2020;nie ma strony www;1940
7589;œwiêtokrzyskie;KIW;848;2-5 osób;CEIDG;01.12.1980;11.10.2018;nie ma strony www;1400
7595;mazowieckie;WAW;1402;6-10 osób;CEIDG;01.12.1992;19.12.2019;nie ma strony www;960
7599;wielkopolskie;POW;10001;6-10 osób;KRS;01.12.1991;21.04.2020;nie ma strony www;7020
7606;wielkopolskie;KNW;437;2-5 osób;CEIDG;01.12.1994;04.05.2020;nie ma strony www;1500
7615;zachodniopomorskie;SZW;907;2-5 osób;CEIDG;01.12.1999;10.09.2020;e-commerce;6070
7621;zachodniopomorskie;SZW;411;2-5 osób;CEIDG;01.06.1997;18.06.2018;nie ma strony www;600
7622;zachodniopomorskie;SZW;10001;;CEIDG;01.01.1990;18.03.2019;ma stronê www;1100
7642;zachodniopomorskie;SZW;437;2-5 osób;CEIDG;01.12.1992;05.09.2018;ma stronê www;500
7643;zachodniopomorskie;SZW;10001;11-20 osób;KRS;14.04.1994;19.10.2020;ma stronê www;25996
7657;pomorskie;GDW;5;1 osoba;CEIDG;01.12.1994;10.01.2019;nie ma strony www;1290
7658;pomorskie;GDW;5;1 osoba;CEIDG;01.11.1995;25.05.2020;ma stronê www;6894
7664;pomorskie;GDW;522;11-20 osób;CEIDG;01.12.1979;12.05.2020;ma stronê www;800
7675;mazowieckie;RDW;522;101-250 osób;KRS;01.01.2004;22.04.2020;nie ma strony www;870
7728;dolnoœl¹skie;WRW;848;;CEIDG;02.02.1998;08.12.2019;ma stronê www;8900
7742;œwiêtokrzyskie;KIW;10001;2-5 osób;CEIDG;01.12.1990;10.06.2020;ma stronê www;510
7748;lubuskie;ZGW;10001;6-10 osób;CEIDG;28.04.2007;17.01.2020;ma stronê www;800
7752;mazowieckie;GAW;968;2-5 osób;CEIDG;01.12.1995;25.05.2020;ma stronê www;9300
7774;podlaskie;SUW;437;2-5 osób;CEIDG;01.12.1992;22.01.2020;e-commerce;2800
7781;podlaskie;SUW;1402;6-10 osób;CEIDG;23.05.2003;23.06.2020;ma stronê www;2030
7782;podlaskie;SUW;526;2-5 osób;CEIDG;01.12.1996;09.11.2019;ma stronê www;690
7788;podlaskie;SUW;98;1 osoba;CEIDG;01.12.1991;11.09.2020;nie ma strony www;1240
7791;podlaskie;SUW;1433;6-10 osób;KRS;01.12.1989;10.04.2020;ma stronê www;1600
7799;podlaskie;SUW;907;2-5 osób;CEIDG;04.02.1999;15.03.2018;ma stronê www;2583
7811;wielkopolskie;POW;526;1 osoba;CEIDG;01.03.1996;03.12.2019;ma stronê www;3492
7814;dolnoœl¹skie;WRW;755;2-5 osób;CEIDG;05.03.1997;03.10.2019;nie ma strony www;500
7819;wielkopolskie;POW;437;2-5 osób;CEIDG;01.04.2001;14.11.2019;e-commerce;2200
7828;dolnoœl¹skie;WBW;755;;CEIDG;01.04.1992;07.07.2020;ma stronê www;6510
7847;zachodniopomorskie;SZW;437;;CEIDG;17.10.1990;20.03.2018;ma stronê www;500
